source,class,covered,missed,percent,passed
openmetadata-service/src/main/java/org/openmetadata/service/entity/bootstrap/EntitySeedResources.java,org/openmetadata/service/entity/bootstrap/EntitySeedResources$Finder,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bootstrap/EntitySeedResources.java,org/openmetadata/service/entity/bootstrap/EntitySeedResources$Reader,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bootstrap/EntitySeedResources.java,org/openmetadata/service/entity/bootstrap/EntitySeedResources$Source,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/CsvImportSummary.java,org/openmetadata/service/entity/bulk/CsvImportSummary,29,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkJobs.java,org/openmetadata/service/entity/bulk/EntityBulkJobs,72,4,94.73684210526316,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkJobs.java,org/openmetadata/service/entity/bulk/EntityBulkJobs$Authorization,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkJobs.java,org/openmetadata/service/entity/bulk/EntityBulkJobs$Job,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkJobs.java,org/openmetadata/service/entity/bulk/EntityBulkJobs$Policy,4,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkMetrics.java,org/openmetadata/service/entity/bulk/EntityBulkMetrics,29,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkMutation.java,org/openmetadata/service/entity/bulk/EntityBulkMutation,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkOperations.java,org/openmetadata/service/entity/bulk/EntityBulkOperations,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkPreparation.java,org/openmetadata/service/entity/bulk/EntityBulkPreparation,58,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkPreparation.java,org/openmetadata/service/entity/bulk/EntityBulkPreparation$Failure,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkPreparation.java,org/openmetadata/service/entity/bulk/EntityBulkPreparation$Hooks,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkPreparation.java,org/openmetadata/service/entity/bulk/EntityBulkPreparation$Result,4,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkPreparation.java,org/openmetadata/service/entity/bulk/EntityBulkPreparation$Results,16,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService,103,4,96.26168224299066,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$Creators,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$EventFactory,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$Events,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$Outcome,18,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$Partition,1,0,100.0,True
